method,instance_name,config,avg_gap
Vanilla,HS_Random_4_10_8,set2_7types_convex,0.027378887220045334
Vanilla,HS_Random_4_10_8,set2_7types_linear,0.0305379375146817
Vanilla,HS_Random_4_10_9,set2_7types_concave,0.1114542601678663
Vanilla,HS_Random_4_10_9,set2_7types_convex,0.018568938608582723
Vanilla,HS_Random_4_10_9,set2_7types_linear,0.07804328586370586
Vanilla,HS_Random_4_11_1,set2_7types_concave,0.11775547818963752
Vanilla,HS_Random_4_11_1,set2_7types_convex,0.01630082224895902
Vanilla,HS_Random_4_11_1,set2_7types_linear,0.040694103194103194
Vanilla,HS_Random_4_11_10,set2_7types_concave,0.09165210529282453
Vanilla,HS_Random_4_11_10,set2_7types_convex,0.03006209547590104
Vanilla,HS_Random_4_11_10,set2_7types_linear,0.04327689621137347
Vanilla,HS_Random_4_11_2,set2_7types_concave,0.054582927547392024
Vanilla,HS_Random_4_11_2,set2_7types_convex,0.014600566257702771
Vanilla,HS_Random_4_11_2,set2_7types_linear,0.0398406374501992
Vanilla,HS_Random_4_11_3,set2_7types_concave,0.1329357962697274
Vanilla,HS_Random_4_11_3,set2_7types_convex,0.018263800821600062
Vanilla,HS_Random_4_11_3,set2_7types_linear,0.03312504705262365
Vanilla,HS_Random_4_11_4,set2_7types_concave,0.13850415512465375
Vanilla,HS_Random_4_11_4,set2_7types_convex,0.007022168445616006
Vanilla,HS_Random_4_11_4,set2_7types_linear,0.05458352026319725
Vanilla,HS_Random_4_11_5,set2_7types_concave,0.09119204309226017
Vanilla,HS_Random_4_11_5,set2_7types_convex,0.016483978582041432
Vanilla,HS_Random_4_11_5,set2_7types_linear,0.03487561032318066
Vanilla,HS_Random_4_11_6,set2_7types_concave,0.11823026974189495
Vanilla,HS_Random_4_11_6,set2_7types_convex,0.013906074400336015
Vanilla,HS_Random_4_11_6,set2_7types_linear,0.07066028107089581
Vanilla,HS_Random_4_11_7,set2_7types_concave,0.15213820447465307
Vanilla,HS_Random_4_11_7,set2_7types_convex,0.026390490552647923
Vanilla,HS_Random_4_11_7,set2_7types_linear,0.053488194391380764
Vanilla,HS_Random_4_11_8,set2_7types_concave,0.1160435959862568
Vanilla,HS_Random_4_11_8,set2_7types_convex,0.03382715097156646
Vanilla,HS_Random_4_11_8,set2_7types_linear,0.0835313050808491
Vanilla,HS_Random_4_11_9,set2_7types_concave,0.13279292386923938
Vanilla,HS_Random_4_11_9,set2_7types_convex,0.023478038959934215
Vanilla,HS_Random_4_11_9,set2_7types_linear,0.03761755485893417
Vanilla,HS_Random_4_9_1,set2_7types_concave,0.17376452678869786
Vanilla,HS_Random_4_9_1,set2_7types_convex,0.016375210278937454
Vanilla,HS_Random_4_9_1,set2_7types_linear,0.029295328582739512
Vanilla,HS_Random_4_9_10,set2_7types_concave,0.10915432836549015
Vanilla,HS_Random_4_9_10,set2_7types_convex,0.04506986379865121
Vanilla,HS_Random_4_9_10,set2_7types_linear,0.05396105419566748
Vanilla,HS_Random_4_9_2,set2_7types_concave,0.09666427989432361
Vanilla,HS_Random_4_9_2,set2_7types_convex,0.027344099490024153
Vanilla,HS_Random_4_9_2,set2_7types_linear,0.03476611883691529
Vanilla,HS_Random_4_9_3,set2_7types_concave,0.11883274986978062
Vanilla,HS_Random_4_9_3,set2_7types_convex,0.014735739079180039
Vanilla,HS_Random_4_9_3,set2_7types_linear,0.06828057107386716
Vanilla,HS_Random_4_9_4,set2_7types_concave,0.10342188957172578
Vanilla,HS_Random_4_9_4,set2_7types_convex,0.018359886364253626
Vanilla,HS_Random_4_9_4,set2_7types_linear,0.046189376443418015
Vanilla,HS_Random_4_9_5,set2_7types_concave,0.06905905482417937
Vanilla,HS_Random_4_9_5,set2_7types_convex,0.051475480080737004
Vanilla,HS_Random_4_9_5,set2_7types_linear,0.044678474549226105
Vanilla,HS_Random_4_9_6,set2_7types_concave,0.09038536689903816
Vanilla,HS_Random_4_9_6,set2_7types_convex,0.015986662555810584
Vanilla,HS_Random_4_9_6,set2_7types_linear,0.063859025139439
Vanilla,HS_Random_4_9_7,set2_7types_concave,0.07398758680022123
Vanilla,HS_Random_4_9_7,set2_7types_convex,0.0290723628409446
Vanilla,HS_Random_4_9_7,set2_7types_linear,0.04639094197200817
Vanilla,HS_Random_4_9_8,set2_7types_concave,0.054355864517083276
Vanilla,HS_Random_4_9_8,set2_7types_convex,0.011653136080883862
Vanilla,HS_Random_4_9_8,set2_7types_linear,0.05127800568002524
Vanilla,HS_Random_4_9_9,set2_7types_concave,0.08077136655055783
Vanilla,HS_Random_4_9_9,set2_7types_convex,0.01733062732310218
Vanilla,HS_Random_4_9_9,set2_7types_linear,0.04774235313157469
